formula_pretty,avg_atomic_number,avg_electronegativity,valence_electron_count,fraction_transition_metals,nelements,density,volume,nsites,crystal_system,spacegroup_number,point_group,formation_energy_per_atom,energy_above_hull,band_gap
CsNaSnF6,18.88888889,3.062222222,13.11111111,0,4,3.89357443,1325.832093,72,Orthorhombic,60,mmm,-3.021046196,0,5.357
Cd(CN)2,14.8,2.574,14,0.2,3,2.023362984,269.9156577,10,Cubic,215,-43m,0.258278528,0.280264627,6.0857
BaBe2(BO3)2,11.09090909,2.613636364,11.63636364,0,4,3.641640861,248.941054,22,Orthorhombic,70,mmm,-3.120560616,0,5.3821
K2SnHOF6,13.72727273,3.010909091,12.27272727,0,5,2.792723187,779.8810869,44,Orthorhombic,43,mm2,-2.622458538,0.021635399,5.2938
BaNaZr2F11,16.4,3.217333333,13.2,0.133333333,4,4.349304157,842.6155126,60,Tetragonal,88,4/m,-3.962168268,0.002970641,5.6992
KAlP4(H2O7)2,8.666666667,2.839583333,12.58333333,0,5,2.483299371,279.5081521,24,Triclinic,2,-1,-2.442506396,0,5.6626
LuBO3,20,2.726,12.8,0,3,7.059129508,109.9836779,10,Trigonal,167,-3m,-3.569151516,0,5.3023
KPr(PO3)4,13,2.888333333,14.22222222,0,4,3.380833421,487.1290134,36,Monoclinic,15,2/m,-2.910382747,0.001127617,5.3491
CaSO4,11.33333333,2.89,13.66666667,0,3,3.185267659,283.8904725,24,Monoclinic,14,2/m,-2.655401247,0.013534486,5.9683
K2LiGaF6,12.6,2.831,11.8,0,4,3.349747467,133.275008,10,Cubic,225,m-3m,-3.104614808,0,6.1271
SrH6Cl2O11,8.3,2.9155,10.9,0,4,2.364914625,1913.049609,160,Monoclinic,14,2/m,-1.171749807,0,5.3145
Ca2NdF7,16.3,3.1,12.6,0,3,4.294984739,414.5216921,30,Monoclinic,8,m,-4.153204206,0.161094825,5.2602
SrB6(H4O7)2,6.482758621,2.722413793,10.75862069,0,4,2.301096839,1109.984668,116,Monoclinic,14,2/m,-2.277245756,0.004097024,5.4172
LiB6(H5O)2,3.105263158,2.215789474,6.368421053,0,4,1.126440914,335.7669653,38,Monoclinic,12,2/m,-0.627083003,0.121053857,5.3429
